"r","H"
10,100.558127830827
20,133.060797146516
30,175.187201385896
40,207.901247864045
50,239.006079753743
60,258.443803810232
70,268.764408252691
80,271.069206753261
90,265.076061064227
100,256.824823230554
110,246.824823230554
120,236.824823230554
130,226.824823230554
140,216.824823230554
150,206.824823230554
160,196.824823230554
170,186.824823230554
180,177.300272906108
190,168.091286211887
200,159.038201799487
