"time","error"
1,0.789343736012176
2,0.789094961787495
3,0.787827873268085
4,0.786584729190902
5,0.787053178848041
6,0.790412033716357
7,0.79134975051888
8,0.791503613535623
9,0.793087640952634
10,0.790985510269915
11,0.788331798991062
12,0.789126338606708
13,0.785449628547657
14,0.785094648101251
15,0.781898732844304
16,0.78504488074797
17,0.78542181946742
18,0.782276850430888
19,0.785724981292116
20,0.783381721833066
21,0.783855687271814
22,0.785700961352424
23,0.78577534431517
24,0.785339843568508
25,0.784941312488186
26,0.786276454282342
27,0.786659828270952
28,0.784916553013185
29,0.784140925587526
30,0.783197086027582
31,0.785664259183501
32,0.787013409087993
33,0.78583536039583
34,0.7860656774934
35,0.787178955426357
36,0.783440965688792
37,0.783632034260207
38,0.784489046314063
39,0.782541245692882
40,0.784346952781406
41,0.785030834644714
42,0.782675512060312
43,0.77974624010128
44,0.782246675983401
45,0.779482458798977
46,0.781919735456038
47,0.780812340125099
48,0.778200751868112
49,0.781263946986933
50,0.780054443893542
51,0.780192801867943
52,0.775659610478687
53,0.775275222095095
54,0.775340087744243
55,0.779902631348253
56,0.777536669254816
57,0.777214363119843
58,0.774968785208098
59,0.775894784393326
60,0.775631663728819
61,0.774147263154941
62,0.775587469219993
63,0.77501037448716
64,0.777748467120702
65,0.77425887101345
66,0.776310072055291
67,0.778613852932671
68,0.778961413756591
69,0.781098465696473
70,0.781630304287497
71,0.779284820507359
72,0.78107351241059
73,0.781216901235202
74,0.782005824797768
75,0.780979291422011
76,0.777091311949703
77,0.777409804101741
78,0.77791016979942
79,0.775364130459795
80,0.777530075247507
81,0.775424462195588
82,0.774252945943431
83,0.773908459636091
84,0.774818678342175
85,0.770591707810523
86,0.77052811317439
87,0.772423381903346
88,0.772609679506224
89,0.77149752651787
90,0.773815167443348
91,0.774843687973205
92,0.773033373909123
93,0.772603096173061
94,0.770544938003087
95,0.769040363813706
96,0.769109328529325
97,0.767682630322102
98,0.767282403213884
99,0.771598795426774
100,0.771985173617938
101,0.772677486816585
102,0.7737380763595
103,0.774385010605081
104,0.774624542872273
105,0.777186126261231
106,0.775601443250153
107,0.774506815669936
108,0.774294254045546
109,0.775707650346364
110,0.773603150123885
111,0.774208313268104
112,0.774009126583886
113,0.77270624972591
114,0.774687802944681
115,0.775930391708772
116,0.776651789133514
117,0.774683044745219
118,0.771810497416311
119,0.77171456422172
120,0.774866852001127
121,0.77522395417005
122,0.77438851497269
123,0.770416340398559
