"r","H"
10,99.5296577764021
20,133.798443815173
30,169.878531845166
40,203.98979951915
50,229.044211037573
60,252.162243857898
70,260.135282921002
80,265.381525614258
90,264.757178143085
100,257.933223398531
110,248.091286211887
120,239.825394592313
130,233.112969212547
140,226.216555304058
150,219.140793598821
160,216.126389031837
170,212.393106841385
180,209.140878329646
190,207.058370835219
200,206.773342773787
