"uniqueAIs","average_percent"
0.166666666666667,0.195911138411138
0.25,0.241985394485394
0.333333333333333,0.294413731913732
0.5,0.358019838019838
0.666666666666667,0.423131085631085
1,0.498271851396851
1.5,0.578493720993721
2,0.635411547911548
3,0.699757712257712
4,0.757377377377378
6,0.807901537901538
