"uniqueAIs","probability_of_activation"
0.166666666666667,0
0.25,0
0.333333333333333,0
0.5,0.00833333333333333
0.666666666666667,0.0666666666666667
1,0.479166666666667
1.5,0.925
2,0.9875
3,1
4,1
6,1
