"configuration","trial_1","trial_2","trial_3","trial_4","trial_5","trial_6","trial_7","trial_8","trial_9"
"a",1.05168469915323,1.02782208765122,0.992704126959364,1.03523031859358,1.04710659694489,1.00863609732465,1.01376704326234,1.02227182631181,1.02594147093173
"b",1.30443931094299,1.39043101224703,1.34962126854886,1.45909114846031,1.29615012959981,1.35946468976567,1.25156787038506,1.29388326840743,1.42909145904529
"c",1.07563374261444,1.05633704754345,1.07456151558803,0.971124692157902,1.06428109988486,1.1261576394784,1.09792768222009,1.05604532194091,1.07711009435287
"d",0.825246302000483,0.780532305391105,0.767422600912634,0.787297688905169,0.775374533223956,0.764522732554622,0.791753554115067,0.757451491737384,0.790048519484018
"e",1.31951972567499,1.34117602604146,1.3942772107916,1.33882868858414,1.20116769832423,1.26498722772277,1.3688978577919,1.2883834857414,1.25810947345694
"f",1.05795490074447,1.07532644482069,1.06633011021927,1.11480716095764,1.06185026770341,1.11696657881179,1.03135764095132,1.02707438571565,1.03792038100691
"g",0.783952444325576,0.792191849402954,0.781733860865322,0.808242308766598,0.783571474770113,0.805433237858898,0.831003077032865,0.787034997004203,0.792401926506906
"h",1.03499915798337,1.01456866735038,1.0150396513144,1.05510228329532,1.05342018992859,1.05214157215854,1.01781954145085,1.0347261644522,1.05506291302324
"i",0.545834310243443,0.557194957934718,0.539686899386171,0.537285925686952,0.542579967479018,0.549536338517876,0.553980761303507,0.533620015445285,0.534030272287248
"j",1.11736941407916,1.10002646913686,1.12920903223233,1.05495817944906,1.15251743576525,1.08232506599185,1.09373437384236,1.09187055781928,1.07041206488012
"k",1.84492771578223,1.84228029838501,1.80552674809486,1.86273142690546,1.77539188744233,1.86217544775656,1.77091503831742,1.85319250775136,1.80705591948235
"l",0.526635220017998,0.496791330279387,0.524245528191529,0.504490768175595,0.512491141182938,0.496321462895218,0.521699793569216,0.522438498980047,0.513302046403075
"m",1.11102583438521,1.11415652447775,1.08593690955752,1.11272164401939,1.09613518180328,1.08806785386996,1.11184116974527,1.10158056144905,1.07797542798398
"n",1.97919445690998,2.16548383937804,2.03787698429422,2.12042957520666,2.00978295707177,2.06140819303262,2.06675089399012,2.07632637060286,1.93301378249025
"o",1.07573767236839,1.08099062097457,1.05232743915829,1.09076405615048,1.08188484430445,1.08877707356412,1.07254783249906,1.04964945346551,1.09514303776222
